File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF032HCI	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR353HEP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA						2014-07-07	ENCODE		see document		1	1_1							/files/ENCFF023YMB/, /files/ENCFF899VCS/	5573738	ENCODE Processing Pipeline	d76d00eebebc49f8761c93cad455787a		https://www.encodeproject.org/files/ENCFF032HCI/@@download/ENCFF032HCI.bed.gz				released	s3://encode-public/2018/02/26/079f611c-7013-41b0-abf3-d38f092fc18b/ENCFF032HCI.bed.gz	ENCODE3 hg19	archived	low read depth		
ENCFF139HGF	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR353HEP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA						2014-07-07	ENCODE		see document		2	2_1							/files/ENCFF065DOQ/, /files/ENCFF092ACZ/	5524228	ENCODE Processing Pipeline	2aae8c1ccd397c34a1d4ed546f80f4b6		https://www.encodeproject.org/files/ENCFF139HGF/@@download/ENCFF139HGF.bed.gz				released	s3://encode-public/2018/02/26/5576b5eb-cc0c-41f6-8c04-d938d9228d0a/ENCFF139HGF.bed.gz	ENCODE3 hg19	archived	low read depth		
ENCFF027BJC	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR353HEP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF023YMB/, /files/ENCFF065DOQ/, /files/ENCFF092ACZ/, /files/ENCFF899VCS/	6662908	ENCODE Processing Pipeline	8c224e9c536f38f96f36cb2caa2b4f25		https://www.encodeproject.org/files/ENCFF027BJC/@@download/ENCFF027BJC.bed.gz				released	s3://encode-public/2018/02/26/1878e7de-aa32-4b8b-af8c-80d06ed095c2/ENCFF027BJC.bed.gz	ENCODE3 hg19	archived	low read depth		
ENCFF063ILV	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR353HEP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF001TDO/, /files/ENCFF139HGF/, /files/ENCFF032HCI/, /files/ENCFF027BJC/	112227	ENCODE Processing Pipeline	25c11cd099248baf012a383cfc47ae2d		https://www.encodeproject.org/files/ENCFF063ILV/@@download/ENCFF063ILV.bed.gz				released	s3://encode-public/2018/02/26/6d293ff3-bf55-40d1-a44e-1813dde1d3d0/ENCFF063ILV.bed.gz	ENCODE3 hg19	archived	low read depth		
ENCFF968EAL	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR353HEP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF001TDO/, /files/ENCFF139HGF/, /files/ENCFF032HCI/, /files/ENCFF027BJC/	136479	ENCODE Processing Pipeline	bba8e09d361ca0cf21a60e83afff4fcd		https://www.encodeproject.org/files/ENCFF968EAL/@@download/ENCFF968EAL.bed.gz				released	s3://encode-public/2018/02/26/bfa36e0c-c761-40c5-9ef7-8e1ea1422664/ENCFF968EAL.bed.gz	ENCODE3 hg19	archived	low read depth		
ENCFF459XMM	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR353HEP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA						2014-07-07	ENCODE		see document		1	1_1							/files/ENCFF709XAA/, /files/ENCFF283ZIL/	5535441	ENCODE Processing Pipeline	9f36fa5536e07057a8bd55924ecf5b34		https://www.encodeproject.org/files/ENCFF459XMM/@@download/ENCFF459XMM.bed.gz				released	s3://encode-public/2016/10/31/4263e6e6-782e-45db-bdca-c7d96bcd2ba4/ENCFF459XMM.bed.gz	ENCODE3 GRCh38	archived	low read depth		
ENCFF373MAQ	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR353HEP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA						2014-07-07	ENCODE		see document		2	2_1							/files/ENCFF285EWB/, /files/ENCFF903JXA/	5517753	ENCODE Processing Pipeline	c44fbb416faed138bc2700cb3ca57560		https://www.encodeproject.org/files/ENCFF373MAQ/@@download/ENCFF373MAQ.bed.gz				released	s3://encode-public/2016/10/31/d0ba234f-a500-406a-b3d8-f5a78b267192/ENCFF373MAQ.bed.gz	ENCODE3 GRCh38	archived	low read depth		
ENCFF223LCM	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR353HEP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF285EWB/, /files/ENCFF903JXA/, /files/ENCFF709XAA/, /files/ENCFF283ZIL/	6646058	ENCODE Processing Pipeline	e286163625de797d410634fe70bc0aa8		https://www.encodeproject.org/files/ENCFF223LCM/@@download/ENCFF223LCM.bed.gz				released	s3://encode-public/2016/10/31/340eb05b-3bbd-4b1e-8ae8-4142abae90f6/ENCFF223LCM.bed.gz	ENCODE3 GRCh38	archived	low read depth		
ENCFF213EHL	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR353HEP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF223LCM/, /files/ENCFF373MAQ/, /files/ENCFF419RSJ/, /files/ENCFF459XMM/	112827	ENCODE Processing Pipeline	e870575eff4d1e6f09e3962b18bac47c		https://www.encodeproject.org/files/ENCFF213EHL/@@download/ENCFF213EHL.bed.gz				released	s3://encode-public/2016/10/31/ee5a856a-54ce-4a9a-964a-a8e2c685bcee/ENCFF213EHL.bed.gz	ENCODE3 GRCh38	archived	low read depth		
ENCFF641AXD	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR353HEP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF223LCM/, /files/ENCFF373MAQ/, /files/ENCFF419RSJ/, /files/ENCFF459XMM/	137540	ENCODE Processing Pipeline	7e814721301eb261472ed85b8adbeed3		https://www.encodeproject.org/files/ENCFF641AXD/@@download/ENCFF641AXD.bed.gz				released	s3://encode-public/2016/10/31/dffb21f7-d900-4367-ad19-a531f3c52802/ENCFF641AXD.bed.gz	ENCODE3 GRCh38	archived	low read depth		
